vehicle_id,title,description,availability,state_of_vehicle,price,url,image,make,model,year,body_style,mileage.unit,mileage.value,address.addr1,address.city,address.region,address.postal_code,address.country
RJ327843,2024 Kenworth T880,"2024 Kenworth T880 Tri-Axle Dump, MX11, 430hp, Allison 4500RDS",AVAILABLE,USED,204900.00 USD,https://www.palmertrucks.com/truck-details/category-Dump-Truck/make-Kenworth/model-T880/vin-1NKZXKTXXRJ327843/,https://d8lxo54bt1xl7.cloudfront.net/prd/RJ327843/068Ux00000JSyuLIAT,Kenworth,T880,2024,TRUCK,MI,50793,2929 South Holt RD.,Indianapolis,IN,46241,United States
PJ263403,2023 Kenworth T680,"2023 Kenworth T680 76"" High-Roof, MX11, 445hp, 12 Speed AMT",AVAILABLE,USED,91900.00 USD,https://www.palmertrucks.com/truck-details/category-Sleeper/make-Kenworth/model-T680/vin-1XKYDK9X3PJ263403/,https://d8lxo54bt1xl7.cloudfront.net/prd/PJ263403/068Ux00000LgUnJIAV,Kenworth,T680,2023,TRUCK,MI,180618,4330 Poplar Level Rd,Louisville,KY,40213,United States
361081A,2024 Kenworth T880,"2024 KW T880, 180"" ARI Custom Sleeper, X15 525hp, 18 Speed AMT,, ARI Rebate included. 
Onan Generator, Roof A/C, Fridge, Microwave/Convection Oven, Dinette, 43"" Smart TV, Shower, Toilet",AVAILABLE,USED,359900.00 USD,https://www.palmertrucks.com/truck-details/category-Custom-Sleeper/make-Kenworth/model-T880/vin-1XKZD49X0RJ361081/,https://d8lxo54bt1xl7.cloudfront.net/prd/361081A/068Ux00000KWdysIAD,Kenworth,T880,2024,TRUCK,MI,839,3535 Coliseum Blvd W,Fort Wayne,IN,46808,United States
128660A,2025 Kenworth T680,"2025 Kenworth T680, 156"" ARI Custom Sleeper, X15 525hp, 12 Speed AMT, Onan Generator, Roof A/C, Fridge, Microwave/Convection Oven, Dinette, 43"" Smart TV, Shower, Toilet",AVAILABLE,USED,374305.00 USD,https://www.palmertrucks.com/truck-details/category-Custom-Sleeper/make-Kenworth/model-T680/vin-1XKYD49X0SJ128660/,https://d8lxo54bt1xl7.cloudfront.net/prd/128660/068Ux00000KX0YrIAL,Kenworth,T680,2025,TRUCK,MI,405,6503 N. Old US 27,Fremont,IN,46737,United States
128572A,2025 Kenworth T880,"ARI Rebate included.
Onan Generator, Roof A/C, Fridge, Microwave/Convection Oven, Dinette, 43"" Smart TV, Shower, Toilet",AVAILABLE,NEW,394368.00 USD,https://www.palmertrucks.com/truck-details/category-Custom-Sleeper/make-Kenworth/model-T880/vin-3WKZD49X2SF128572/,https://d8lxo54bt1xl7.cloudfront.net/prd/128572A/068Ux00000KZ1deIAD,Kenworth,T880,2025,TRUCK,MI,0,3535 Coliseum Blvd W,Fort Wayne,IN,46808,United States
152899A,2025 Kenworth W900,"2025 Kenworth W900L, 132"" ARI Custom Sleeper, X15 525hp, 18 Speed Manual, Onan Generator, Roof A/C, Fridge, Microwave/Convection Oven, Dinette",AVAILABLE,USED,388285.00 USD,https://www.palmertrucks.com/truck-details/category-Custom-Sleeper/make-Kenworth/model-W900/vin-1XKWD49X0SR152899/,https://d8lxo54bt1xl7.cloudfront.net/prd/152899A/068Ux00000KYwUOIA1,Kenworth,W900,2025,TRUCK,MI,167,6503 N. Old US 27,Fremont,IN,46737,United States
152900A,2025 Kenworth W900,"2025 Kenworth W900L, 132"" ARI Custom Sleeper, X15 525hp, 18 Speed Manual, ear Door, Onan Generator, Roof A/C, Fridge, Microwave/Convection Oven, Dinette, 43"" Smart TV, Shower, Toilet",AVAILABLE,USED,389574.00 USD,https://www.palmertrucks.com/truck-details/category-Custom-Sleeper/make-Kenworth/model-W900/vin-1XKWD49X3SR152900/,https://d8lxo54bt1xl7.cloudfront.net/prd/152900A/068Ux00000KZ1qaIAD,Kenworth,W900,2025,TRUCK,MI,2560,3535 Coliseum Blvd W,Fort Wayne,IN,46808,United States
152872A,2025 Kenworth T680,"2025 Kenworth T680, 120"" ARI Custom Sleeper, X15, 500HP, 12spd AMT, Generator, Roof A/C, Fridge, Microwave/Convection Oven",AVAILABLE,USED,347055.00 USD,https://www.palmertrucks.com/truck-details/category-Custom-Sleeper/make-Kenworth/model-T680/vin-1XKYD49X3SJ152872/,https://d8lxo54bt1xl7.cloudfront.net/prd/152872A/068Ux00000KaAGfIAN,Kenworth,T680,2025,TRUCK,MI,319,6503 N. Old US 27,Fremont,IN,46737,United States
152873A,2025 Kenworth T680,"2025 Kenworth T680, 120"" ARI Custom Sleeper, X15, 500HP, 12spd AMT, Generator, Roof A/C, Fridge, Microwave/Convection Oven",AVAILABLE,USED,350598.00 USD,https://www.palmertrucks.com/truck-details/category-Custom-Sleeper/make-Kenworth/model-T680/vin-1XKYD49X5SJ152873/,https://d8lxo54bt1xl7.cloudfront.net/prd/152873A/068Ux00000Kaqe7IAB,Kenworth,T680,2025,TRUCK,MI,392,3535 Coliseum Blvd W,Fort Wayne,IN,46808,United States
152901A,2025 Kenworth W900,"2025 Kenworth W900L, 156"" ARI Custom Sleeper, X15 525hp, 18 Speed Manual, Rear Door, Onan Generator, Roof A/C, Fridge, Microwave/Convection Oven, Dinette, 43"" Smart TV, Shower, Toilet",AVAILABLE,USED,397653.00 USD,https://www.palmertrucks.com/truck-details/category-Custom-Sleeper/make-Kenworth/model-W900/vin-1XKWD49X5SR152901/,https://d8lxo54bt1xl7.cloudfront.net/prd/152901A/068Ux00000KaQTXIA3,Kenworth,W900,2025,TRUCK,MI,227,3535 Coliseum Blvd W,Fort Wayne,IN,46808,United States
